,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
0,TIC 55659311,2816.0651555651148,0.3978860322468212,9,9,0,,EB,[9.043446 8.97997  9.050913 9.033577 8.959433],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055659311-0120-s_lc.fits
1,TIC 350479101,518.927076006258,0.2597262141729291,10,10,0,,EB,[10.277396 10.020209 10.377667  9.706222 10.057599],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
2,TIC 25155310,121.19637352061643,0.22043916425565147,5,3,0,,notEB,[4.0911427 2.889063  5.7909746 3.2358565 2.7035522],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
3,TIC 25155310,104.27035596118422,0.13040657044295778,5,3,1,,notEB,[3.91264433 2.62917835 5.74752736 3.01941562 2.4510718 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
4,TIC 141809359,309.1057514577969,0.25978766642842727,10,9,0,,notEB,[ 9.805148  8.884034 10.032391  9.794399  9.154669],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
5,TIC 141809359,160.80315686986023,0.1392203988658053,10,9,1,,EB,[ 9.6853465   8.93490652 10.57740329  8.16669431  8.27781647],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
6,TIC 150431920,229.03705687211274,0.11332504825674702,9,5,0,,notEB,[1.4575479 5.930049  9.671425  6.1827335 3.4301648],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
7,TIC 55384162,240.04002939451976,0.1175875977233905,11,4,0,,notEB,[ 2.2021708  1.4314016 11.177578   5.220978   2.9407814],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
8,TIC 55384162,142.98746755697167,0.059587053599335874,15,5,1,,notEB,[ 3.3252534   2.30937858 15.30670089  7.39488078  0.52881788],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
9,TIC 55384162,146.8335058700217,0.06496652158266908,15,5,2,,notEB,[ 3.41086912  2.42386041 15.32944476  7.48267677  0.62910772],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
10,TIC 30313682,3262.287449003728,0.4912582751633299,4,4,0,,EB,[4.3583083 4.355913  4.419434  4.380217  4.3676543],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000030313682-0120-s_lc.fits
11,TIC 150274386,110.49012128366763,0.08178512370260178,4,3,0,,notEB,[2.0698907 2.4921021 4.1353483 3.4354277 2.3836994],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150274386-0120-s_lc.fits
12,TIC 271596290,3067.7076892974924,0.5262889881766889,3,3,0,,EB,[2.190633  3.4659443 3.4967675 3.459645  3.4466944],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000271596290-0120-s_lc.fits
13,TIC 25134376,524.1528535877313,0.1242289902704749,6,6,0,,notEB,[6.283915  6.1658497 6.7443438 6.3386035 6.2961245],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits
14,TIC 25134376,459.1555414692977,0.02528495724328233,7,6,1,,notEB,[6.70299615 6.56023311 7.25610593 6.76379728 6.70951748],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits
15,TIC 150442264,4381.113808832989,0.6560431098486659,3,3,0,,EB,[3.9387448 3.9345586 3.9866714 3.9820685 3.9730546],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150442264-0120-s_lc.fits
16,TIC 25117242,211.52284520189497,0.14414921749883258,6,5,0,,notEB,[5.864603  5.0137057 6.4344754 4.7967176 5.342889 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits
17,TIC 25117242,174.35935489916145,0.024722602158902072,6,5,1,,notEB,[6.25942088 5.17568497 6.98091878 4.89626061 5.58973469],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits
18,TIC 25117242,98.2056042816693,0.05167943639871626,6,4,2,,notEB,[5.4588576  3.90604055 6.46933631 3.48236066 4.42313382],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits
19,TIC 260504147,5332.680876632356,0.3724180220464448,7,7,0,,EB,[7.4014716 7.379848  7.4027314 7.3845406 7.3954473],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260504147-0120-s_lc.fits
20,TIC 260161144,12901.042549801006,0.346873513604888,4,4,0,,EB,[4.440113 4.466521 4.489479 4.452756 4.468264],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260161144-0120-s_lc.fits
21,TIC 141622065,6143.934296486414,0.6033808638689983,3,3,0,,EB,[3.3413172 3.278394  3.3944182 3.3203483 3.2988017],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141622065-0120-s_lc.fits
22,TIC 349832824,3944.1173592734795,0.25098132851766786,4,4,0,,EB,[4.4583354 4.492087  4.563924  4.5205607 4.5287805],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000349832824-0120-s_lc.fits
23,TIC 38846515,155.53124305461327,0.28914362941680427,5,3,0,,notEB,[3.767993  3.7606425 5.5583034 3.153424  3.7784715],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038846515-0120-s_lc.fits
24,TIC 38846515,103.93204816022295,0.13993575585495951,5,3,1,,notEB,[3.29886346 3.28979417 5.50787219 2.54056605 3.35635225],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038846515-0120-s_lc.fits
25,TIC 370227780,265.5779168940427,0.13297268093285908,4,3,0,,notEB,[4.2420797 2.5751472 2.5760517],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000370227780-0120-s_lc.fits
26,TIC 38586438,1319.0501153095918,0.1423631190254676,5,4,0,,notEB,[4.884835  4.8514857 5.1999373 4.868929  5.1323476],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038586438-0120-s_lc.fits
27,TIC 38586438,1280.7104201045688,0.08737146679757916,5,5,1,,EB,[5.30195152 5.26489868 5.64504675 5.28338885 5.57104651],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038586438-0120-s_lc.fits
28,TIC 31273263,968.6382259527995,0.057433004286063856,13,13,0,,EB,[13.261622 13.234939 13.472663 13.219995 13.157863],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000031273263-0120-s_lc.fits
29,TIC 149176305,279.5798934539913,0.2879749225291543,4,3,0,,notEB,[3.432973  3.6273825 4.4761796 3.0880291 2.44649  ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149176305-0120-s_lc.fits
30,TIC 55497281,16271.99563368205,0.35063370521410386,10,10,0,,EB,[10.086678 10.086278 10.101578 10.087124 10.075414],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055497281-0120-s_lc.fits
31,TIC 55524055,923.3839002729247,0.5692557251508347,5,5,0,,notEB,[5.307107  5.2039557 5.4519715 5.1781015 5.0359983],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits
32,TIC 55524055,871.7488078593768,0.1901496777064041,7,7,1,,EB,[7.75753051 7.7007617  7.93555564 7.59535671 7.59976084],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits
33,TIC 142148228,325.7603474324532,0.5724923018999323,4,3,0,,notEB,[3.21116   3.7018175 4.1221457 3.7293005 3.6595376],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000142148228-0120-s_lc.fits
34,TIC 142148228,234.18827682272556,0.08932238737913026,5,4,1,,notEB,[4.76832361 4.80402794 5.5062701  4.65303904 4.64441192],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000142148228-0120-s_lc.fits
35,TIC 279510954,141.15990489981317,0.2738426161266522,3,3,0,,notEB,[2.8101346 3.0361335 3.4134927 3.355267  3.318925 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000279510954-0120-s_lc.fits
36,TIC 279510954,85.48420790857618,0.08139959687194438,6,3,1,,notEB,[ 0.46912609 -0.96654596  6.51380955  5.29531605  6.21133646],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000279510954-0120-s_lc.fits
37,TIC 55295028,539.6426178095044,0.5891849455001628,3,3,0,,notEB,[3.156378  3.2140853 3.2171803 3.1495938 3.165967 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055295028-0120-s_lc.fits
38,TIC 55295028,73.60981567596582,0.15056560199986876,5,5,1,,notEB,[5.01320275 5.37863357 5.54547627 5.48362389 5.08286348],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055295028-0120-s_lc.fits
39,TIC 55295028,73.65922808234441,0.0954236585361895,5,5,2,,notEB,[5.19467757 5.60635885 5.76701953 5.69733886 5.24585653],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055295028-0120-s_lc.fits
40,TIC 167304735,1183.0176947589448,0.05317790499025902,10,9,0,,notEB,[ 7.528137   9.1746645 10.237426   8.587753   9.604537 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167304735-0120-s_lc.fits
41,TIC 167304735,672.5522013177919,0.006264369863800982,10,9,1,,EB,[ 7.62056866  9.57214391 10.83448313  8.87917965 10.08632702],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167304735-0120-s_lc.fits
