Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025078924-0120-s_lc.fits,78,TIC 25078924,995.6373524132083,0.15888105339712744,5,5,1,,EB,[5.00751678 5.33862318 5.3655071  5.1503521  5.34382375]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits,18,TIC 25117242,98.2056042816693,0.051679436398716264,6,4,2,,notEB,[5.4588576  3.90604055 6.46933631 3.48236066 4.42313382]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits,14,TIC 25134376,459.1555414692977,0.025284957243282332,7,6,1,,notEB,[6.70299615 6.56023311 7.25610593 6.76379728 6.70951748]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits,3,TIC 25155310,104.27035596118422,0.13040657044295778,5,3,1,,notEB,[3.91264433 2.62917835 5.74752736 3.01941562 2.4510718 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000030313682-0120-s_lc.fits,10,TIC 30313682,3262.287449003728,0.4912582751633299,4,4,0,,EB,[4.3583083 4.355913  4.419434  4.380217  4.3676543]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000031273263-0120-s_lc.fits,28,TIC 31273263,968.6382259527996,0.05743300428606385,13,13,0,,EB,[13.261622 13.234939 13.472663 13.219995 13.157863]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000032150630-0120-s_lc.fits,68,TIC 32150630,898.1485742940354,0.15260107021205532,6,5,1,,EB,[6.09640995 5.8436143  6.26184428 5.95031292 5.95352923]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038574307-0120-s_lc.fits,51,TIC 38574307,203.25738974447071,0.07113759429341206,4,3,0,,notEB,[3.6833942 3.7728484 4.2245145 3.8320537 3.3488457]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038586438-0120-s_lc.fits,27,TIC 38586438,1280.7104201045688,0.08737146679757916,5,5,1,,EB,[5.30195152 5.26489868 5.64504675 5.28338885 5.57104651]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038699658-0120-s_lc.fits,100,TIC 38699658,164.76622423598155,0.029473521036229425,17,9,1,,EB,[ 1.24759102 16.47219632 17.48886975 10.70637923  2.04048004]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038846515-0120-s_lc.fits,24,TIC 38846515,103.93204816022295,0.13993575585495951,5,3,1,,notEB,[3.29886346 3.28979417 5.50787219 2.54056605 3.35635225]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000040716679-0120-s_lc.fits,63,TIC 40716679,216.4686164821446,0.07643820237559891,6,3,0,,notEB,[2.2740967 6.171029  6.6268234 0.6299066 2.669372 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055295028-0120-s_lc.fits,39,TIC 55295028,73.65922808234441,0.0954236585361895,5,5,2,,notEB,[5.19467757 5.60635885 5.76701953 5.69733886 5.24585653]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits,9,TIC 55384162,146.8335058700217,0.06496652158266908,15,5,2,,notEB,[ 3.41086912  2.42386041 15.32944476  7.48267677  0.62910772]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055404385-0120-s_lc.fits,47,TIC 55404385,9075.526370000971,0.28000788284128986,7,7,0,,EB,[7.204546  7.187732  7.2131777 7.204712  7.1563168]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055497281-0120-s_lc.fits,30,TIC 55497281,16271.99563368205,0.35063370521410386,10,10,0,,EB,[10.086678 10.086278 10.101578 10.087124 10.075414]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits,32,TIC 55524055,871.7488078593767,0.1901496777064041,7,7,1,,EB,[7.75753051 7.7007617  7.93555564 7.59535671 7.59976084]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055652785-0120-s_lc.fits,57,TIC 55652785,2693.564756745593,0.4425583938731046,3,3,0,,EB,[3.8146849 3.8209968 3.9234996 3.8003964 3.7287169]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055659311-0120-s_lc.fits,0,TIC 55659311,2816.0651555651148,0.3978860322468212,9,9,0,,EB,[9.043446 8.97997  9.050913 9.033577 8.959433]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000140659980-0120-s_lc.fits,83,TIC 140659980,971.7962309569665,0.2841813844760713,9,9,1,,EB,[9.28975864 9.10964784 9.39705657 9.31161747 9.20447924]
