,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
0,TIC 55659311,2802.9371346865487,0.3971679762100776,7,7,0,,EB,[7.9879313 7.9315968 7.9945583 7.979175  7.91337  ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055659311-0120-s_lc.fits
1,TIC 350479101,519.0208448248801,0.2647671240804801,9,8,0,,notEB,[9.143926 8.914887 9.233212 8.635263 8.948187],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
2,TIC 350479101,251.99118182756357,0.19246616588855098,9,9,1,,EB,[9.74919246 9.20521547 9.9965935  9.18750874 9.34487318],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
3,TIC 25155310,103.93179811467907,0.14047454201950543,5,3,0,,notEB,[4.134845  2.9232318 5.848171  3.2727852 2.736213 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
4,TIC 25155310,103.93179811467907,0.14047454201950543,4,1,1,,notEB,[2.03012925 0.40382248 4.49000095 1.07148391 0.45722321],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
5,TIC 25155310,103.93179811467907,0.14047454201950543,5,3,0,,notEB,[4.134845  2.9232318 5.848171  3.2727852 2.736213 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
6,TIC 25155310,103.93179811467907,0.14047454201950543,4,1,1,,notEB,[2.03012925 0.40382248 4.49000095 1.07148391 0.45722321],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
7,TIC 141809359,181.21768384623297,0.09598037276883929,13,12,0,,EB,[13.159943  11.924274  13.464799  13.145528  12.2873335],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
8,TIC 141809359,181.21768384623297,0.09598037276883929,13,12,0,,EB,[13.159943  11.924274  13.464799  13.145528  12.2873335],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
9,TIC 150431920,244.95331619951043,0.10887410642415112,9,5,0,,notEB,[1.3274858 5.764778  9.476715  6.0155    3.2845976],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
10,TIC 55384162,197.98010511692223,0.10507497107017506,13,4,0,,notEB,[ 3.2445078   2.8850727  13.01941     3.1418252   0.76766294],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
11,TIC 55384162,97.49557154690712,0.06693067244790694,17,4,1,,notEB,[ 4.51138311 -1.96946694 17.17025048  4.92632714 -1.43787197],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
12,TIC 55384162,197.98010511692223,0.10507497107017506,13,4,0,,notEB,[ 3.2445078   2.8850727  13.01941     3.1418252   0.76766294],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
13,TIC 55384162,97.49557154690712,0.06693067244790694,17,4,1,,notEB,[ 4.51138311 -1.96946694 17.17025048  4.92632714 -1.43787197],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
14,TIC 55384162,197.98010511692223,0.10507497107017506,13,4,0,,notEB,[ 3.2445078   2.8850727  13.01941     3.1418252   0.76766294],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
15,TIC 55384162,97.49557154690712,0.06693067244790694,17,4,1,,notEB,[ 4.51138311 -1.96946694 17.17025048  4.92632714 -1.43787197],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
