Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025078924-0120-s_lc.fits,139,TIC 25078924,1048.3147757093207,0.17348994731936146,5,5,1,,EB,[4.83923489 5.16007284 5.18612631 4.97763999 5.16511276]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025117242-0120-s_lc.fits,28,TIC 25117242,82.24358961057627,0.02435302300779438,5,0,2,,notEB,[-0.0731086   0.84169556  5.43449376 -1.93015638  0.46178674]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025134376-0120-s_lc.fits,18,TIC 25134376,189.70229933721515,0.029565241416938344,5,4,1,,notEB,[3.44697288 4.43511762 5.73564319 4.08933322 3.86290964]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025155310-0120-s_lc.fits,6,TIC 25155310,120.95570212607515,0.20684690391803826,4,1,1,,notEB,[1.9859301  0.39775037 4.40513738 1.0377508  0.40108765]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000030313682-0120-s_lc.fits,13,TIC 30313682,2925.9325260747664,0.4547441893581395,4,4,0,,EB,[4.558542  4.55605   4.6221514 4.5813403 4.5682673]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000031273263-0120-s_lc.fits,44,TIC 31273263,625.7387400184692,0.03098346611522165,19,11,0,,EB,[18.571173   18.933088   19.451078    0.5280365   0.34856403]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000032150630-0120-s_lc.fits,119,TIC 32150630,856.0792725534596,0.1584034452897302,6,5,2,,EB,[6.08456685 5.83451142 6.24821001 5.93826082 5.94144189]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038574307-0120-s_lc.fits,90,TIC 38574307,158.4624975307481,0.08148964056078023,5,3,0,,notEB,[3.3415673 3.0640116 5.727025  3.261976  3.5081007]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038586438-0120-s_lc.fits,43,TIC 38586438,72.39219276699255,0.2411940226680921,5,5,2,,notEB,[5.26092619 5.56171883 5.71282704 5.41183994 5.54553507]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038699658-0120-s_lc.fits,181,TIC 38699658,164.18983845180657,0.04326362655181355,14,8,1,,EB,[ 1.02688984 14.08679476 14.95672986  9.13823859  1.69704696]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038846515-0120-s_lc.fits,36,TIC 38846515,147.21200807438632,0.2363905844457546,4,1,1,,notEB,[1.49289194 1.40323    4.1605365  0.29072781 1.15802204]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000040716679-0120-s_lc.fits,108,TIC 40716679,216.15181210176812,0.08260236358046552,6,4,0,,notEB,[2.5859513 5.771414  6.7952924 3.9445252 4.042599 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055295028-0120-s_lc.fits,67,TIC 55295028,115.20382240218152,0.03734509934447405,4,4,2,,notEB,[4.41058788 4.73090074 4.87717635 4.82295368 4.47499131]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits,12,TIC 55384162,196.8196674770903,0.1140388906354812,13,4,0,,notEB,[ 3.2732782  2.907585  13.21861    3.168808   0.7533085]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055404385-0120-s_lc.fits,83,TIC 55404385,9275.776945920326,0.2676593259506371,6,6,0,,EB,[6.7203426 6.7045956 6.728427  6.720498  6.6751695]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055497281-0120-s_lc.fits,46,TIC 55497281,16349.533071624575,0.35033264007034304,9,9,0,,EB,[9.104211 9.103849 9.117703 9.104614 9.09401 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits,50,TIC 55524055,868.7867571831125,0.1909821074063853,7,7,1,,EB,[7.39089596 7.33660866 7.56114096 7.23580998 7.24002223]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055652785-0120-s_lc.fits,96,TIC 55652785,2522.1016694018053,0.42084181860565895,3,3,0,,EB,[3.8266103 3.8329256 3.9354777 3.812314  3.7406003]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055659311-0120-s_lc.fits,0,TIC 55659311,2810.2070807276145,0.39742401262239824,8,8,0,,EB,[8.531089 8.471084 8.538147 8.521759 8.45167 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000140659980-0120-s_lc.fits,150,TIC 140659980,983.6002647042387,0.2957627296019345,9,8,1,,EB,[8.94902212 8.78275542 9.051451   8.97343372 8.87326777]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141268467-0120-s_lc.fits,82,TIC 141268467,41365.60920280308,0.41576336891172333,5,5,0,,EB,[5.125286  5.1451616 5.154789  5.1403193 5.119059 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141622065-0120-s_lc.fits,31,TIC 141622065,5790.098172964184,0.5774639501624191,3,3,0,,EB,[3.342949  3.2800734 3.3960083 3.3219948 3.3004656]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits,8,TIC 141809359,245.46343770903312,0.1891414183982134,11,11,0,,EB,[11.042825 10.004776 11.298915 11.030714 10.309766]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000142148228-0120-s_lc.fits,56,TIC 142148228,78.34121269818122,0.05239881399709417,5,5,2,,notEB,[4.55744687 5.01908692 5.5415129  5.24457776 5.07765236]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149176305-0120-s_lc.fits,45,TIC 149176305,262.25504062800906,0.3863829607216333,4,3,0,,notEB,[3.3741186 3.5706387 4.4285626 3.0254798 2.3769956]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149473467-0120-s_lc.fits,120,TIC 149473467,11679.86206006342,0.4419100830047856,3,3,0,,EB,[3.509137  3.528262  3.5503197 3.531181  3.535289 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149542947-0120-s_lc.fits,152,TIC 149542947,129.36427049883238,0.057116905831250876,15,4,0,,notEB,[ 1.9564326   3.7767727  15.452354    0.49811015  1.139252  ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149603524-0120-s_lc.fits,146,TIC 149603524,171.20890815229666,0.1934358443288353,7,6,2,,EB,[5.82648383 6.19830476 7.17120652 5.55572087 7.00164129]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000149989242-0120-s_lc.fits,98,TIC 149989242,109.75908251183728,0.2770921345099745,4,1,1,,notEB,[-0.51664345  1.42988273  4.12636207  1.68619665  1.57010133]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150098777-0120-s_lc.fits,160,TIC 150098777,225.43871715205142,0.07676467670717849,14,5,0,,notEB,[ 6.0411506  1.3521663 14.579974   4.5986967  2.5222106]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits,9,TIC 150431920,247.4125376194993,0.09546531130557916,9,5,0,,notEB,[1.3958828 5.9412146 9.743547  6.198058  3.4006457]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150442264-0120-s_lc.fits,19,TIC 150442264,4333.406205989015,0.6109593105674033,3,3,0,,EB,[3.770709  3.7666836 3.816879  3.8124526 3.803765 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167126852-0120-s_lc.fits,93,TIC 167126852,190.08817329864826,0.07947710038462569,9,4,0,,notEB,[1.4783756 5.8719625 9.944749  4.4835734 1.4034942]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167304735-0120-s_lc.fits,71,TIC 167304735,1027.1371803556408,0.0036889703264648853,10,9,1,,EB,[ 7.4011901   9.27047481 10.47699248  8.6051045   9.75945656]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167692429-0120-s_lc.fits,81,TIC 167692429,2038.4968244306208,0.4234158232712032,7,7,0,,EB,[7.0078173 7.0487356 7.050783  6.8854117 6.9619136]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000220474209-0120-s_lc.fits,89,TIC 220474209,1384.8759935100775,0.1449247243391349,5,4,1,,EB,[4.74757528 4.841093   5.01391517 4.79877042 4.84222457]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260161144-0120-s_lc.fits,30,TIC 260161144,13018.940044192334,0.3471271984318017,4,4,0,,EB,[4.374465  4.4005504 4.423231  4.3869534 4.4022737]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260502102-0120-s_lc.fits,135,TIC 260502102,951.4877653260263,0.24557703744910106,8,7,1,,EB,[7.72741821 7.73691838 8.09658312 7.84322237 7.91844594]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260504147-0120-s_lc.fits,29,TIC 260504147,5351.915311035669,0.3759292395374594,6,6,0,,EB,[6.9793    6.958898  6.980489  6.9633245 6.9736166]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000271596290-0120-s_lc.fits,14,TIC 271596290,2893.8498767164174,0.5217371740899914,3,3,0,,EB,[2.1809652 3.4532607 3.4840126 3.4469771 3.434058 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000272357134-0120-s_lc.fits,80,TIC 272357134,131.81806348537398,0.1663466954082819,8,7,2,,EB,[5.94674151 6.78883833 8.37018593 7.10336249 7.16481046]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000278683641-0120-s_lc.fits,151,TIC 278683641,3479.1616747214107,0.4252699419312452,6,6,0,,EB,[6.060208  6.0635233 6.1103005 6.095266  6.0926085]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000278956474-0120-s_lc.fits,177,TIC 278956474,199.71451095258092,0.2122327925977752,6,5,1,,notEB,[5.71962757 6.35106919 6.62780027 4.88998941 5.8595308 ]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000278988794-0120-s_lc.fits,173,TIC 278988794,103.903856011064,0.09189039959114406,4,1,2,,notEB,[0.6361021  1.66197333 4.06143331 0.13924165 1.10903162]
/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000279510954-0120-s_lc.fits,58,TIC 279510954,78.34121269818122,0.05239881399709417,2,2,0,,notEB,[2.1167269 1.9342326 2.4346602 2.2423685 1.9111879]
