,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
7,7,TIC 55659311,2802.937134686549,0.3971679762100776,7,7,0,,EB,[7.9879313 7.9315968 7.9945583 7.979175  7.91337  ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055659311-0120-s_lc.fits
26,26,TIC 350479101,519.0208448248801,0.2647671240804801,9,8,0,,notEB,[9.143926 8.914887 9.233212 8.635263 8.948187],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
27,27,TIC 350479101,251.9911818275636,0.19246616588855095,9,9,1,,EB,[9.74919246 9.20521547 9.9965935  9.18750874 9.34487318],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350479101-0120-s_lc.fits
143,143,TIC 141809359,181.21768384623297,0.09598037276883928,13,12,0,,EB,[13.159943  11.924274  13.464799  13.145528  12.2873335],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
252,252,TIC 150431920,244.95331619951043,0.10887410642415113,9,5,0,,notEB,[1.3274858 5.764778  9.476715  6.0155    3.2845976],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
253,253,TIC 150431920,244.95331619951043,0.10887410642415113,11,5,1,,notEB,[ 0.35959357  6.25142723 11.18441348  6.58462465  2.95217897],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
294,294,TIC 279955276,17.607571693840846,0.1126586042257712,3,2,0,,notEB,[2.9073608 2.974103  3.037247  2.9484293 2.948106 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000279955276-0120-s_lc.fits
298,298,TIC 55384162,17.607571693840846,0.1126586042257712,13,4,0,,notEB,[ 3.2445078   2.8850727  13.01941     3.1418252   0.76766294],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
585,585,TIC 30313682,2894.5923010975193,0.4569250009491028,4,4,0,,EB,[4.2637663 4.2614107 4.323923  4.2853274 4.272964 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000030313682-0120-s_lc.fits
652,652,TIC 271596290,2506.041948448151,0.4368558444406898,3,3,0,,EB,[2.186678  3.4593787 3.490139  3.4530926 3.4401681],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000271596290-0120-s_lc.fits
713,713,TIC 25133286,16.895128127531432,0.08206352032160075,0,0,0,,notEB,[0.26345706 0.27040237 0.27575427 0.27130547 0.2735737 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000025133286-0120-s_lc.fits
855,855,TIC 150442264,4415.2692270484695,0.5969894031602064,3,3,0,,EB,[3.6403325 3.636467  3.6845753 3.680331  3.6720078],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150442264-0120-s_lc.fits
922,922,TIC 260504147,3966.50168967041,0.2741817047281036,7,7,0,,EB,[7.197538  7.176558  7.198763  7.1811104 7.1916924],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260504147-0120-s_lc.fits
950,950,TIC 293972244,3966.50168967041,0.2741817047281036,1,1,0,,notEB,[1.4973078 1.4805301 1.5910949 1.4381974 1.4959203],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000293972244-0120-s_lc.fits
964,964,TIC 260161144,11638.167531968325,0.33869337232697705,4,4,0,,EB,[4.583144  4.5876265 4.597173  4.5942645 4.583876 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260161144-0120-s_lc.fits
981,981,TIC 141622065,5497.374276621026,0.5322309460473593,3,3,0,,EB,[3.3250432 3.26257   3.3777642 3.3042226 3.2828317],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141622065-0120-s_lc.fits
996,996,TIC 350618622,5497.374276621026,0.5322309460473593,3,1,0,,notEB,[0.3736267 1.0189924 3.7679987 1.3192322 0.2308916],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000350618622-0120-s_lc.fits
1223,1223,TIC 349832824,3401.9661585979775,0.2460939441046553,4,4,0,,EB,[4.5461473 4.5804086 4.653332  4.609314  4.6176567],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000349832824-0120-s_lc.fits
1355,1355,TIC 370227780,9.18733868120948,0.07696351976992265,3,2,0,,notEB,[1.5646137 1.3768524 3.4444237 2.0061464 2.3783255],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000370227780-0120-s_lc.fits
1364,1364,TIC 38586438,1152.4933233099073,0.14435981702157452,5,4,0,,notEB,[4.9723115 4.938331  5.2933726 4.956104  5.224504 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038586438-0120-s_lc.fits
1365,1365,TIC 38586438,957.7041070546068,0.09783358529152897,5,5,1,,EB,[5.27150132 5.23463479 5.61286901 5.25302983 5.53923863],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000038586438-0120-s_lc.fits
1480,1480,TIC 31273263,4.4310738913589836,0.1111036184346781,2,2,0,,notEB,[2.0645328 1.3549062 2.8285575 2.1556761 1.1250945],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000031273263-0120-s_lc.fits
1692,1692,TIC 55497281,16313.916419199817,0.3498401096569076,8,8,0,,EB,[8.524173 8.523833 8.536834 8.524552 8.514602],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055497281-0120-s_lc.fits
1743,1743,TIC 55524055,844.749986422138,0.4273915105978792,5,5,0,,notEB,[5.322359  5.2185955 5.468084  5.192588  5.0496407],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits
1744,1744,TIC 55524055,812.4412615350107,0.1505922347362746,7,7,1,,notEB,[7.38904905 7.33476146 7.55928655 7.2339705  7.23818383],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits
1745,1745,TIC 55524055,805.3493524190669,0.1483966794267828,7,7,2,,EB,[7.41265682 7.35802237 7.58398205 7.25367721 7.25791746],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055524055-0120-s_lc.fits
1926,1926,TIC 260301896,22.535282278037855,0.1471534089318079,6,2,0,,notEB,[1.4643257 1.8921968 6.00777   1.5146323 1.6042341],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260301896-0120-s_lc.fits
2089,2089,TIC 55295028,22.535282278037855,0.1471534089318079,3,2,0,,notEB,[2.968183  2.896786  3.0034277 2.9783611 2.925513 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055295028-0120-s_lc.fits
2133,2133,TIC 167304735,1197.4181241395586,0.04860020552916888,9,8,0,,notEB,[7.1577125 8.735135  9.753292  8.172856  9.146966 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167304735-0120-s_lc.fits
2134,2134,TIC 167304735,1009.9274609658071,0.001329626955855931,10,9,1,,EB,[ 7.16941568  9.00604619 10.19394969  8.35002457  9.48430286],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167304735-0120-s_lc.fits
2307,2307,TIC 272357134,748.0949876237979,0.27271446596585835,4,4,0,,notEB,[4.243597  4.1256557 4.4522724 4.247871  4.185952 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000272357134-0120-s_lc.fits
2308,2308,TIC 272357134,636.8682835290831,0.3947945646581356,4,4,1,,notEB,[4.50812834 4.37492807 4.7417067  4.51292762 4.44339504],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000272357134-0120-s_lc.fits
2309,2309,TIC 272357134,74.79838744140575,0.0649056161918856,4,4,2,,notEB,[4.45719339 4.39220593 4.80211654 4.23028498 4.19371136],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000272357134-0120-s_lc.fits
2329,2329,TIC 260131665,74.79838744140575,0.0649056161918856,2,2,0,,notEB,[2.6589968 2.6494234 2.661045  2.6538465 2.659824 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260131665-0120-s_lc.fits
2398,2398,TIC 167692429,1658.5329151518126,0.2306300799200097,7,7,0,,EB,[7.732205  7.6389256 7.773244  7.730509  7.700851 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000167692429-0120-s_lc.fits
2436,2436,TIC 141268467,39213.44603178435,0.3455816736678142,5,5,0,,EB,[5.026819  5.0463395 5.055795  5.041584  5.0207024],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141268467-0120-s_lc.fits
2519,2519,TIC 55404385,7463.738921895198,0.2117446644618466,6,6,0,,EB,[6.3754015 6.360428  6.3830905 6.3755493 6.33244  ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055404385-0120-s_lc.fits
2678,2678,TIC 220474209,1114.9071135316274,0.14960221431201629,4,4,0,,notEB,[4.6992126 4.7889543 4.8521028 4.831879  4.816966 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000220474209-0120-s_lc.fits
2679,2679,TIC 220474209,1231.5273519749485,0.1413518716915,5,4,1,,EB,[4.76086925 4.85462739 5.02788461 4.81219406 4.85576192],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000220474209-0120-s_lc.fits
2791,2791,TIC 260416268,186.0033622647892,0.0803462977026633,7,3,0,,notEB,[0.4341322  0.13288659 7.5576997  7.019761   2.0236394 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000260416268-0120-s_lc.fits
2799,2799,TIC 425064757,933.3069685500153,0.03239566242490058,4,4,0,,notEB,[4.764942  4.8267875 4.937684  4.8990226 4.6280255],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000425064757-0120-s_lc.fits
2800,2800,TIC 425064757,933.3069685500153,0.03239566242490058,5,2,1,,notEB,[-0.40462489 -0.26084582  5.29219086  4.91316858  3.5881471 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000425064757-0120-s_lc.fits
2806,2806,TIC 177308817,933.3069685500153,0.03239566242490058,3,1,0,,notEB,[0.9240916  1.004813   3.6840043  1.6075321  0.21746129],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000177308817-0120-s_lc.fits
2839,2839,TIC 55652785,2424.9420898153394,0.42054745811221295,3,3,0,,EB,[3.6994388 3.6741323 3.7306595 3.6470742 3.608795 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055652785-0120-s_lc.fits
